Nuclear excitation energy [MeV]	Optimal DM mass [MeV]
9.845321000000006	9.841843335313186
16.429129000000003	16.42565123765953
17.886873	17.88339521603769
19.106065	19.102587197954147
20.271515	20.268037180667733
20.634644	20.63116617528166
21.124506000000004	21.121028168015833
21.319014000000003	21.315536165130812
22.049041000000003	22.045563154302762
22.25506900000001	22.25159115124688
22.375785	22.37230714945637
22.69106900000001	22.687591144779958
23.234614	23.231136136717872
23.49949	23.496012132789126
23.722903	23.719425129475376
23.975631	23.972153125726816
24.127765000000004	24.12428712347031
24.395655000000005	24.392177119496857
24.689789000000005	24.686311115134146
24.873077	24.869599112415536
25.193355000000004	25.189877107665055
25.557194000000003	25.553716102268446
26.003710000000005	26.000232095645547
26.416083000000004	26.41260508952907
26.527788000000005	26.524310087872216
27.125878000000004	27.122400079001107
27.402361000000003	27.398883074900198
27.668740000000003	27.66526207094916
27.976836	27.973358066379355
28.509042000000004	28.50556405848547
28.857441000000005	28.853963053317877
29.168116000000005	29.164638048709822
29.456089	29.452611044438484
30.042922000000004	30.039444035734352
30.437946000000004	30.434468029875198
30.851649	30.848171023738985
31.185094000000003	31.1816160187932
31.681334000000003	31.677856011432773
31.952711000000004	31.9492330074076
32.410724	32.407246000614165
32.792416	32.78893799495276
33.30255100000001	33.299072987386246
33.58793800000001	33.584459983153266
34.136562000000005	34.13308397501586
34.565850000000005	34.562371968648485
34.993877000000005	34.99039896229982
35.363474000000004	35.35999595681781
35.869974	35.86649594277067
36.283955000000006	36.28047685902728
36.767230000000005	36.763751761234
37.199811	37.19633267366912
37.652768	37.64928958194942
38.19608	38.19260147189275
38.556106	38.55262739893901
39.13056400000001	39.12708528249316
39.565449	39.56197019430612
40.05407	40.05059109518796
40.499525000000006	40.49604600479432
41.059143000000006	41.05566389119112
41.52287200000001	41.51939279701705
41.98585800000001	41.9823787029608
42.51042700000001	42.50694759635388
43.013321000000005	43.009841494111924
43.524117	43.520637390223236
44.03732	44.033840285804125
44.525012	44.52153218653754
45.074676	45.071196074612374
45.630351000000005	45.626870961415065
46.133935	46.13045485878735
46.672945000000006	46.669464748895734
47.156012	47.15253165037056
47.697723	47.694242539840566
48.228122	48.22464143157348
48.739074	48.735593327233666
49.307315	49.303834211146096
49.82493	49.821449105356095
50.314816	50.31133500519375
50.89891900000001	50.895437885717314
51.432787000000005	51.42930577646818
51.973068000000005	51.96958666585981
52.579828000000006	52.576346541585195
53.101235	53.097753434744526
53.692147000000006	53.68866531360816
54.194118	54.19063621065981
54.817892	54.814410082673604
55.341667	55.338184975155905
55.943416000000006	55.939933851576384
56.459958	56.45647574544792
57.035070000000005	57.03158762723377
57.633648	57.63016550413791
58.218292000000005	58.214809383850046
58.749719000000006	58.74623627446188
59.338874	59.33539115313589
59.940347	59.93686402921323
60.485786	60.48230291678281
61.089916	61.08643279219603
61.652671000000005	61.649187676086356
62.271494	62.26801054834663
62.83086	62.82737643282431
63.431304	63.42782030875914
63.976745	63.97326119600551
64.543533	64.54004907878512
65.17234	65.16885594867381
65.74018600000001	65.73670183111803
66.328565	66.32508070925284
66.927682	66.92419758510215
67.483962	67.48047746977262
68.092447	68.08896234355826
68.696788	68.69330321813968
69.253307	69.24982210258922
69.842951	69.83946598010188
70.435649	70.43216385691869
71.026463	71.02297773406562
71.621069	71.61758361036193
72.19555100000001	72.1920654907856
72.791594	72.78810836665964
73.37417400000001	73.37068824527644
73.951451	73.94796512493856
