Photon energy [MeV]	C12 flux [cm^-2 s^-1 sr^-1 MeV^-1]
19.255045092388954	1440.4521561346694
19.356387434980476	15591.974567004549
19.457729777571995	131450.55019690818
19.559072120163517	863142.9140071947
19.660414462755035	4414301.79659787
19.761756805346558	17583298.32456826
19.86309914793808	54550367.19132919
19.964441490529598	131811718.67788458
20.06578383312112	248067219.08606964
20.16712617571264	363616635.6520273
20.26846851830416	415123310.52782017
20.369810860895683	369121641.7688758
20.4711532034872	255635348.9340959
20.572495546078724	137889538.04689682
20.673837888670242	57929627.6130722
20.775180231261764	18955234.765935037
20.876522573853286	4830772.767206099
20.977864916444805	958877.3538664455
21.079207259036327	148241.0645814035
21.180549601627845	17849.78540522611
21.281891944219367	1674.0039721919823
