Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	32.61772650338831
0.36900244702644347	32.61234370813403
0.7380047940528869	32.61330114328594
1.1070071410793305	32.61377421815399
1.476009488105774	32.61400014522867
1.9882302582263947	32.61426059208566
2.5004510283470154	32.61449660200858
3.012671798467636	32.61454226270068
3.524892568588257	32.614274119480825
4.02374655008316	32.61394906600319
4.522600531578064	32.6138000310803
5.0214545130729675	32.6136866709716
5.520308494567871	32.61360132766603
6.016494989395142	32.61350971947792
6.512681484222412	32.613438270126906
7.008867979049683	32.61341605294216
7.505054473876953	32.61347030311558
8.003790855407715	32.61359261576952
8.502527236938477	32.6137628931988
9.001263618469238	32.61391522778388
9.5	32.61407026575968
10.0	32.614114329592546
10.5	32.61408163369492
11.0	32.61394907242493
11.5	32.6137726473039
12.0	32.61352811328239
12.5	32.613323451800056
13.0	32.61317844936369
13.5	32.61314161701316
14.0	32.61314073586397
14.5	32.61314077976834
15.0	32.61314082321179
15.5	32.613140866218366
24.125	32.61314155568033
32.75	32.61314217716712
41.375	32.61314275128732
50.0	32.61314328566949
