Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	72.00681908762296
0.36900244702644347	72.00142039982117
0.7380047940528869	72.00238037018403
1.1070071410793305	72.00285719928561
1.476009488105774	72.00308150724906
1.9882302582263947	72.00334364644273
2.5004510283470154	72.00360805674875
3.012671798467636	72.00364608670529
3.524892568588257	72.00335762050999
4.02374655008316	72.00304164456057
4.522600531578064	72.00288400708091
5.0214545130729675	72.00276858076856
5.520308494567871	72.00267252976916
6.016494989395142	72.00258775042582
6.512681484222412	72.00251797306994
7.008867979049683	72.00249517738165
7.505054473876953	72.00255103963653
8.003790855407715	72.0026684730269
8.502527236938477	72.0028462689943
9.001263618469238	72.00300721908631
9.5	72.00314942323372
10.0	72.0031965405807
10.5	72.00316082740711
11.0	72.0030416523104
11.5	72.00285655656452
12.0	72.00260938217299
12.5	72.00240001808669
13.0	72.00225844952206
13.5	72.00222210758473
14.0	72.00222127667155
14.5	72.00222137408072
15.0	72.00222147019574
15.5	72.00222156534784
24.125	72.0022230912822
32.75	72.00222446758191
41.375	72.00222573967541
50.0	72.00222692432045
