Nuclear excitation energy [MeV]	Optimal DM mass [MeV]
11.083686999999998	11.08047232075549
12.67221699999999	12.669001981997345
14.298885	14.295669635037731
15.954131999999994	15.9509162819108
16.732240999999995	16.7290251158856
17.228590999999994	17.225375009970957
17.361999999999995	17.35878398150209
17.69947299999999	17.696256909484784
18.216430999999996	18.21321479915921
18.289008999999997	18.285792783669546
18.558547	18.555330726143275
19.272980999999994	19.26976457365546
19.409212	19.405995544576964
19.743546999999992	19.740330473211046
19.906587999999992	19.90337143840783
20.24729899999999	20.244082365676356
20.717435999999992	20.71421926531123
20.976286999999992	20.97307021004903
21.28797099999999	21.284754143505108
21.546325	21.54310805747425
21.916796999999995	21.91357982668359
22.23987	22.236652625617353
22.63741199999999	22.63419437845578
23.151957	23.14873905896084
23.676200999999992	23.672982733918516
24.077032	24.0738134857176
24.477605	24.474386237955294
24.863989	24.860769999232822
25.267703	25.264483750079325
25.661045999999992	25.657826507597218
26.093220999999996	26.090001241484263
26.680792999999998	26.67757288020086
27.08572999999999	27.082509631560335
27.625601999999997	27.622381300503758
27.958043999999997	27.954823096893982
28.465062999999997	28.461841786724822
28.984675	28.98145346930628
29.544822999999997	29.541601127639233
30.06296199999999	30.059739812069598
30.553664999999995	30.55044251362842
31.072003999999996	31.068781198820652
31.532825999999996	31.52960291932519
32.141206	32.13798255088005
32.617766	32.61454226270068
33.129636999999995	33.12641295359156
33.69586399999999	33.69263961216718
34.22301699999999	34.21979229478343
34.822188	34.81896293459999
35.395219999999995	35.391994590685925
36.02945999999999	36.02623421066937
36.587898	36.58467187661968
37.16982099999999	37.166594529066835
37.66492399999999	37.66169723380423
38.240869	38.237641890834624
38.83026199999999	38.82703454041712
39.39495399999999	39.391726205215605
40.02306099999999	40.01983283297889
40.61219799999999	40.60896948441752
41.253868	41.250639105412645
41.857097	41.85386774971765
42.462212	42.45898239349762
43.08268499999999	43.07945502884551
43.70801099999999	43.70478066196341
44.382741	44.37951026679424
45.031899	45.02866788728425
45.685689	45.682457505740786
46.38724799999999	46.38401609707061
47.05356	47.05032770964985
47.73497599999999	47.731743314167744
48.39182199999999	48.38858893363351
49.10594699999999	49.10271352067936
49.787712	49.78447812717817
50.489346	50.48611172296173
51.202839	51.19960431269387
51.902564	51.89932891110501
52.577086	52.57385052469307
53.31233699999999	53.30910110428558
54.02287299999999	54.01967083336896
54.72362199999999	54.72041944460989
55.456186	55.45298303899762
56.193896	56.19069263135679
56.909995	56.906791236442984
57.64883499999999	57.645630829796275
58.381672	58.37846742726197
59.11943699999999	59.116232022831454
59.863596	59.86039061571724
60.596925	60.59371921533235
61.33836899999999	61.335162811326065
62.081757	62.07855040707486
62.82657999999999	62.823373002858446
63.57767299999999	63.574465596062915
64.324264	64.32105619252275
65.090392	65.0871837792667
65.84944499999999	65.84623637066743
66.61037099999999	66.60716196189685
67.377129	67.3739195508382
68.155874	68.1526641342185
68.92587499999999	68.92266472313123
69.68293499999999	69.67972431977856
70.463456	70.46024490478042
71.237212	71.23400049423249
72.006858	72.00364608670529
72.79192099999999	72.78870867187509
73.574129	73.57091625941473
74.357244	74.35403084733439
75.140284	75.13707043614933
75.932379	75.92916502107717
76.72639799999999	76.7231836058698
