Nuclear excitation energy [MeV]	Optimal DM mass [MeV]
9.845321000000006	9.841859270809609
16.429129000000003	16.425665244940713
17.886873	17.883408798784632
19.106065	19.102600426301
20.271515	20.2680500707974
20.634644	20.631178960141888
21.124506000000004	21.12104081095122
21.319014000000003	21.315548751739243
22.049041000000003	22.04557552964019
22.25506900000001	22.251603466998056
22.375785	22.372319430302625
22.69106900000001	22.687603334489605
23.234614	23.231148169402474
23.49949	23.496024088996215
23.722903	23.719437021198253
23.975631	23.972164944528167
24.127765000000004	24.12429889838753
24.395655000000005	24.392188817161657
24.689789000000005	24.686322728011255
24.873077	24.86961067247502
25.193355000000004	25.189888575462813
25.557194000000003	25.55372746530525
26.003710000000005	26.000243330187583
26.416083000000004	26.41261620547169
26.527788000000005	26.52432117169977
27.125878000000004	27.122410990962113
27.402361000000003	27.398893907458927
27.668740000000003	27.665272827035782
27.976836	27.973368734052517
28.509042000000004	28.5055745735207
28.857441000000005	28.85397346849158
29.168116000000005	29.164648374874897
29.456089	29.452621288132782
30.042922000000004	30.039454123754677
30.437946000000004	30.434478025818997
30.851649	30.84818092325156
31.185094000000003	31.181625840581532
31.681334000000003	31.67786571754925
31.952711000000004	31.949242650266534
32.410724	32.40725553671022
32.792416	32.7889474420756
33.30255100000001	33.29908231559448
33.58793800000001	33.58446924483607
34.136562000000005	34.13309310881001
34.565850000000005	34.56238100237119
34.993877000000005	34.99040789624416
35.363474000000004	35.36000480460385
35.869974	35.866504679017865
36.283955000000006	36.280485576370964
36.767230000000005	36.76376045654154
37.199811	37.19634134928091
37.652768	37.64929823696703
38.19608	38.192610102323094
38.556106	38.55263601310251
39.13056400000001	39.127093870741376
39.565449	39.5619787629684
40.05407	40.05059964187803
40.499525000000006	40.49605453148453
41.059143000000006	41.055672392798186
41.52287200000001	41.51940127787471
41.98585800000001	41.98238716313476
42.51042700000001	42.50695605096541
43.013321000000005	43.00984997012298
43.524117	43.52064588797658
44.03732	44.0338488054088
44.525012	44.5215407269135
45.074676	45.07120463840628
45.630351000000005	45.626879548890805
46.133935	46.13046346773169
46.672945000000006	46.6694733808261
47.156012	47.15254030290762
47.697723	47.69425121549306
48.228122	48.224650129866056
48.739074	48.735602047343086
49.307315	49.303842955526484
49.82493	49.821457871852374
50.314816	50.3113437926276
50.89891900000001	50.89544669812375
51.432787000000005	51.429314611707284
51.973068000000005	51.96959552421349
52.579828000000006	52.57635542590679
53.101235	53.0977623413889
53.692147000000006	53.688674245559724
54.194118	54.190645164116766
54.817892	54.81441906286361
55.341667	55.338193977801346
55.943416000000006	55.9399428800293
56.459958	56.45648479606178
57.035070000000005	57.03159670252986
57.633648	57.63017460513286
58.218292000000005	58.214818509955
58.749719000000006	58.74624542339932
59.338874	59.335400327395085
59.940347	59.936873229333436
60.485786	60.482312140363376
61.089916	61.08644204177095
61.652671000000005	61.64919694988445
62.271494	62.26801984879142
62.83086	62.82738575736474
63.431304	63.42782965917443
63.976745	63.97327056993418
64.543533	64.54005847715625
65.17234	65.16886537417253
65.74018600000001	65.73671128112396
66.328565	66.3250901846618
66.927682	66.92420708638785
67.483962	67.480486995094
68.092447	68.08896755192517
68.696788	68.69330844367559
69.253307	69.2498273439448
69.842951	69.83947123822847
70.435649	70.43216913191326
71.026463	71.02298302588467
71.621069	71.61758891912366
72.19555100000001	72.19207266221225
72.791594	72.78811551439438
73.37417400000001	73.37069536991416
73.951451	73.94797222674796
