# l range [deg] = [330, 359.75], [0.25, 30] 
     # b range [deg] = [-5, 5], 
    # R_odot [kpc] = 8.5, 
    # R_max [kpc] = 50 kpc

Photon energy [MeV]	Flux integrated over solid angle [cm^-2 s^-1 MeV^-1]
13.413086475865295	595.0
13.591927628876833	595.0
13.77076878188837	595.0
13.949609934899907	595.0
14.128451087911445	595.0
14.307292240922981	595.0
14.48613339393452	595.0
14.664974546946056	595.0
14.843815699957593	595.0
15.022656852969131	595.0
15.201498005980667	595.0
15.380339158992205	595.0
15.559180312003743	595.0
15.73802146501528	595.0
15.916862618026817	595.0
16.095703771038355	595.0
16.27454492404989	595.0
16.45338607706143	595.0
16.632227230072967	595.0
16.811068383084503	595.0
16.98990953609604	595.0
17.16875068910758	595.0
17.347591842119115	595.0
17.52643299513065	595.0
17.70527414814219	595.0
17.884115301153727	595.0
18.062956454165263	595.0
18.241797607176803	595.0
18.42063876018834	595.0
18.599479913199875	595.0
18.77832106621141	595.0
18.95716221922295	595.0
19.136003372234487	595.0
19.314844525246023	595.0
19.493685678257563	595.0
19.6725268312691	595.0
19.851367984280635	595.0
20.030209137292175	595.0
20.20905029030371	595.0
20.387891443315247	595.0
20.566732596326787	595.0
20.745573749338323	595.0
20.92441490234986	595.0
21.1032560553614	595.0
21.282097208372935	595.0
21.46093836138447	595.0
21.63977951439601	595.0
21.818620667407547	595.0
21.997461820419083	595.0
22.176302973430623	595.0
22.35514412644216	595.0
