Radius from GC [kpc]	Optimal DM mass [MeV]
0.03708848197596332	75.13987343629432
0.39681873350841596	75.13483725797664
0.7565489850408686	75.13582258783832
1.1162792365733214	75.13626807786773
1.476009488105774	75.13650509148435
1.9882302582263947	75.1367875119106
2.5004510283470154	75.13701453759757
3.012671798467636	75.13706580798109
3.524892568588257	75.13677204804611
4.02374655008316	75.13646773147408
4.522600531578064	75.13630765871882
5.0214545130729675	75.14024513409917
5.520308494567871	75.14024513409917
6.016494989395142	75.14024513409917
6.512681484222412	75.13593994766222
7.008867979049683	75.13590112778104
7.505054473876953	75.13594152723785
8.003790855407715	75.1361043892887
8.502527236938477	75.13626673600756
9.001263618469238	75.13643328368735
9.5	75.13657340859949
10.0	75.13662034769064
10.5	75.13658452173173
11.0	75.13646773147408
11.5	75.13627144657026
12.0	75.1360289776596
12.5	75.13582493928476
13.0	75.13569559951523
13.5	75.13563661747271
14.0	75.13563674083761
14.5	75.13563737541088
15.0	75.13563787328094
15.5	75.1356382774778
24.125	75.13564328646011
32.75	75.1356462765431
41.375	75.13565702360958
50.0	75.13565345833302
