Radius from GC [kpc]	Optimal DM mass [MeV]
0.03708848197596332	57.64842552756966
0.39681873350841596	57.6433953043524
0.7565489850408686	57.64440942125901
1.1162792365733214	57.64482023314652
1.476009488105774	57.64506085402929
1.9882302582263947	57.64533945219101
2.5004510283470154	57.64556755057037
3.012671798467636	57.64561763842351
3.524892568588257	57.64532331137972
4.02374655008316	57.64501847203397
4.522600531578064	57.644858658718825
5.0214545130729675	57.64879587465906
5.520308494567871	57.64879587465906
6.016494989395142	57.64879587465906
6.512681484222412	57.644490947943446
7.008867979049683	57.64445212778103
7.505054473876953	57.644543509088464
8.003790855407715	57.64465539068
8.502527236938477	57.64481879759831
9.001263618469238	57.64498428368735
9.5	57.64512463088664
10.0	57.64518262604639
10.5	57.64513877189155
11.0	57.64501847203397
11.5	57.64482446565226
12.0	57.64459541073873
12.5	57.64438748476744
13.0	57.64424885250624
13.5	57.6441906864676
14.0	57.64419091829164
14.5	57.64419164061072
15.0	57.64419229362307
15.5	57.64419288709699
24.125	57.64419820129853
32.75	57.64420111501867
41.375	57.64421737995264
50.0	57.64420951245804
