Radius from GC [kpc]	Optimal DM mass [MeV]
0.03708848197596332	25.66063854918792
0.39681873350841596	25.65561884414382
0.7565489850408686	25.65662511798291
1.1162792365733214	25.65706693769622
1.476009488105774	25.657277059069685
1.9882302582263947	25.657552428109053
2.5004510283470154	25.65778216872523
3.012671798467636	25.657825736818832
3.524892568588257	25.657535004335056
4.02374655008316	25.65722899757838
4.522600531578064	25.657069658718825
5.0214545130729675	25.66100640020347
5.520308494567871	25.66100640020347
6.016494989395142	25.66100640020347
6.512681484222412	25.656701948127253
7.008867979049683	25.656701894744096
7.505054473876953	25.656757612909477
8.003790855407715	25.656866392772457
8.502527236938477	25.657031345548287
9.001263618469238	25.657195283687344
9.5	25.657336171935896
10.0	25.6573978406707
10.5	25.65735808743635
11.0	25.65723392869426
11.5	25.65703594217959
12.0	25.656813243668616
12.5	25.656604930575583
13.0	25.656464143445756
13.5	25.65644099378005
14.0	25.656441414689265
14.5	25.656408587012415
15.0	25.65640938315959
15.5	25.6564101017854
24.125	25.65641636421937
32.75	25.65641915714413
41.375	25.65642097508893
50.0	25.65643172993209
