Radius from GC [kpc]	Optimal DM mass [MeV]
0.03708848197596332	64.32385410992381
0.39681873350841596	64.3188216318554
0.7565489850408686	64.31980710469054
1.1162792365733214	64.3202487985353
1.476009488105774	64.32048876364807
1.9882302582263947	64.32076808281076
2.5004510283470154	64.32099578791694
3.012671798467636	64.32104636472476
3.524892568588257	64.3207522027198
4.02374655008316	64.32044757104659
4.522600531578064	64.32028765871884
5.0214545130729675	64.32422497367168
5.520308494567871	64.32422497367168
6.016494989395142	64.32422497367168
6.512681484222412	64.31991994787077
7.008867979049683	64.31988112778103
7.505054473876953	64.31997176318765
8.003790855407715	64.32008439017574
8.502527236938477	64.32024741686489
9.001263618469238	64.32041328368734
9.5	64.32055354210556
10.0	64.32061106581463
10.5	64.32056644020564
11.0	64.32044757104659
11.5	64.3202532611646
12.0	64.32002287513674
12.5	64.31981109951761
13.0	64.31967698750344
13.5	64.31961851859138
14.0	64.31961870930091
14.5	64.3196193978365
15.0	64.3196200213829
15.5	64.31962056960644
24.125	64.31962570728653
32.75	64.31962864926452
41.375	64.31964248171366
50.0	64.31963651371998
