Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	21.31897433580074
0.36900244702644347	21.31493111380772
0.7380047940528869	21.315670126429183
1.1070071410793305	21.316019231002205
1.476009488105774	21.316181502588044
1.9882302582263947	21.316394005991643
2.5004510283470154	21.316573486844497
3.012671798467636	21.316596878708594
3.524892568588257	21.31640501027671
4.02374655008316	21.31614207989777
4.522600531578064	21.316055702410885
5.0214545130729675	21.31595763250742
5.520308494567871	21.31590964317737
6.016494989395142	21.31581155710974
6.512681484222412	21.315765876222255
7.008867979049683	21.315747450721545
7.505054473876953	21.315782179322724
8.003790855407715	21.31586131359924
8.502527236938477	21.316018230151368
9.001263618469238	21.316135235954672
9.5	21.31622230142871
10.0	21.31627073781421
10.5	21.31625946521842
11.0	21.31617745009136
11.5	21.31601907540156
12.0	21.31582409705277
12.5	21.31568260876631
13.0	21.315569814625142
13.5	21.31553616513081
14.0	21.31553616513081
14.5	21.31553616513081
15.0	21.31553616513081
15.5	21.31553616513081
24.125	21.31553616513081
32.75	21.31553616513081
41.375	21.31553616513081
50.0	21.31553616513081
