Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	44.03728067276767
0.36900244702644347	44.03322934869448
0.7380047940528869	44.03396887533341
1.1070071410793305	44.034324625384045
1.476009488105774	44.03448473796299
1.9882302582263947	44.034694415547975
2.5004510283470154	44.03487518986837
3.012671798467636	44.03489855098152
3.524892568588257	44.034705680434016
4.02374655008316	44.03444364159135
4.522600531578064	44.03432729139024
5.0214545130729675	44.034259772196606
5.520308494567871	44.034210631466
6.016494989395142	44.03411179063801
6.512681484222412	44.03406131118685
7.008867979049683	44.03404750251772
7.505054473876953	44.03407027717856
8.003790855407715	44.0341614810921
8.502527236938477	44.0343237201544
9.001263618469238	44.034429252291424
9.5	44.03452743893312
10.0	44.03457371567222
10.5	44.03455991537599
11.0	44.0344481482078
11.5	44.03432453959171
12.0	44.03412448211628
12.5	44.03398251706064
13.0	44.03387581462514
13.5	44.03383991893772
14.0	44.033839415664026
14.5	44.033839462328345
15.0	44.03383950849555
15.5	44.03383955419137
24.125	44.033840285804125
32.75	44.03384094373554
41.375	44.03384155021708
50.0	44.03384182816388
