Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	37.66488457824976
0.36900244702644347	37.659499767723496
0.7380047940528869	37.660457221781456
1.1070071410793305	37.66093107622712
1.476009488105774	37.66115679015628
1.9882302582263947	37.66141745611302
2.5004510283470154	37.66165261683119
3.012671798467636	37.66169723380423
3.524892568588257	37.6614310386611
4.02374655008316	37.66110714018906
4.522600531578064	37.66095700693205
5.0214545130729675	37.66084337055817
5.520308494567871	37.66075662818084
6.016494989395142	37.660666437240565
6.512681484222412	37.66059471396137
7.008867979049683	37.66057242239758
7.505054473876953	37.66062687545752
8.003790855407715	37.6607484675029
8.502527236938477	37.660919803482
9.001263618469238	37.66107322674736
9.5	37.66122660943127
10.0	37.6612711280814
10.5	37.66123802755078
11.0	37.66110714676672
11.5	37.66092962197449
12.0	37.6606847717366
12.5	37.66048107437367
13.0	37.66033489741182
13.5	37.660297955121685
14.0	37.66029707414195
14.5	37.66029712521492
15.0	37.66029717575278
15.5	37.66029722578346
24.125	37.66029802799429
32.75	37.66029896727776
41.375	37.660299630019466
50.0	37.660300246899055
