Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	46.38720870762273
0.36900244702644347	46.38182040028485
0.7380047940528869	46.38277793894329
1.1070071410793305	46.38325309384054
1.476009488105774	46.38347844304313
1.9882302582263947	46.38373948600422
2.5004510283470154	46.38400725748656
3.012671798467636	46.38401609707061
3.524892568588257	46.38375316533998
4.02374655008316	46.38343627907442
4.522600531578064	46.38327923464571
5.0214545130729675	46.38316512861213
5.520308494567871	46.38307588318567
6.016494989395142	46.3829850947792
6.512681484222412	46.38291601121856
7.008867979049683	46.38289359100797
7.505054473876953	46.38294839766984
8.003790855407715	46.38306881191013
8.502527236938477	46.38324191011588
9.001263618469238	46.38339722490416
9.5	46.38354775317111
10.0	46.38359301178606
10.5	46.38355922500316
11.0	46.38343127521659
11.5	46.38325184255572
12.0	46.38300643224285
12.5	46.38279692956682
13.0	46.38265622507355
13.5	46.38261944900548
14.0	46.38261858100555
14.5	46.38261864381136
15.0	46.38261870595954
15.5	46.38261876748439
24.125	46.38261975405007
32.75	46.38262064371367
41.375	46.38262146587788
50.0	46.38262245246068
