Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	61.3383299293837
0.36900244702644347	61.33293558473503
0.7380047940528869	61.33389345714428
1.1070071410793305	61.33437066759686
1.476009488105774	61.334595403319256
1.9882302582263947	61.33485708792725
2.5004510283470154	61.33512282667616
3.012671798467636	61.33516281132607
3.524892568588257	61.33487093741165
4.02374655008316	61.33455299520744
4.522600531578064	61.33439718839908
5.0214545130729675	61.33428230088337
5.520308494567871	61.33418898767275
6.016494989395142	61.33410227554421
6.512681484222412	61.3340323384487
7.008867979049683	61.334009698304016
7.505054473876953	61.33406511849189
8.003790855407715	61.33418370809445
8.502527236938477	61.33435963314027
9.001263618469238	61.33451822158483
9.5	61.33466387968386
10.0	61.33471025388111
10.5	61.33467535105609
11.0	61.33455249531809
11.5	61.33436976902818
12.0	61.3341233530891
12.5	61.33391385857554
13.0	61.33377267389625
13.5	61.33373616139964
14.0	61.3337353153431
14.5	61.33373539820056
15.0	61.33373548019109
15.5	61.33373556135994
24.125	61.33373686301034
32.75	61.33373803695597
41.375	61.33373912195915
50.0	61.33374013232213
