Photon energy [MeV]	C12 flux [cm^-2 s^-1 MeV^-1]
5.905368024680487	11778040.403251382
6.299059226325853	53867810.77822921
6.692750427971219	209962344.58074164
7.086441629616584	697443937.1427536
7.48013283126195	1974390235.9188108
7.873824032907316	4763349934.103934
8.267515234552683	9793722230.14479
8.661206436198048	17160853304.234999
9.054897637843414	25626292391.1411
9.44858883948878	32612829275.22918
9.842280041134146	35370970710.92417
10.235971242779511	32693489880.97569
10.629662444424877	25753211060.04624
11.023353646070243	17288499190.819805
11.417044847715609	9890972684.654438
11.810736049360974	4822547487.001064
12.20442725100634	2003871297.9396904
12.598118452651706	709608711.5853262
12.991809654297072	214152847.78355473
13.385500855942437	55078812.864025466
13.779192057587803	12072607.745332047
