Photon energy [MeV]	C12 flux [cm^-2 s^-1 sr^-1 MeV^-1]
5.905368024680487	0.0
6.299059226325853	6.556568647100257e-271
6.692750427971219	7.904700088296525e-212
7.086441629616584	1.0831144604493775e-159
7.48013283126195	1.686721899650156e-114
7.873824032907316	2.985333028516304e-76
8.267515234552683	6.005127885896943e-45
8.661206436198048	1.3728778810285066e-20
9.054897637843414	0.0035671529239030253
9.44858883948878	105339613.48419322
9.842280041134146	353542709226.45355
10.235971242779511	134856605.3709788
10.629662444424877	0.005846322029584194
11.023353646070243	2.8805367250160724e-20
11.417044847715609	1.6130367870980387e-44
11.810736049360974	1.0265859121877057e-75
12.20442725100634	7.425513650958633e-114
12.598118452651706	6.104328180511322e-159
12.991809654297072	5.703342067927144e-211
13.385500855942437	6.0562129618834815e-270
13.779192057587803	0.0
