g_\chi [MeV^-1]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	C12	16.42608455290175	0	0.25	0.1	1.642608455290175	2.681003098717115e-09
1	C12	16.42608455290175	0	0.25	0.1	1.903144367929468	1.1032898484824565e-08
1	C12	16.42608455290175	0	0.25	0.1	2.205004164879827	5.506476866970232e-08
1	C12	16.42608455290175	0	0.25	0.1	2.5547422723516546	3.3998845138011885e-07
1	C12	16.42608455290175	0	0.25	0.1	2.959952721221369	2.6475260833072772e-06
1	C12	16.42608455290175	0	0.25	0.1	3.429434039857549	2.6458280233912176e-05
1	C12	16.42608455290175	0	0.25	0.1	3.973380300777474	0.000343955198596139
1	C12	16.42608455290175	0	0.25	0.1	4.603602469421538	0.0058558990241117355
1	C12	16.42608455290175	0	0.25	0.1	5.333784861297368	0.13002765861062893
1	C12	16.42608455290175	0	0.25	0.1	6.179782276070367	3.6877645724499613
1	C12	16.42608455290175	0	0.25	0.1	7.15996426041532	127.61597281199623
1	C12	16.42608455290175	0	0.25	0.1	8.29561397477314	4964.361893001934
1	C12	16.42608455290175	0	0.25	0.1	9.611390324797462	189895.02336042354
1	C12	16.42608455290175	0	0.25	0.1	11.135863391972329	5805653.313546269
1	C12	16.42608455290175	0	0.25	0.1	12.90213478946217	104034432.64499077
1	C12	16.42608455290175	0	0.25	0.1	14.948556413277496	694375543.7658793
1	C12	16.42608455290175	0	0.25	0.1	17.31956319534426	899832398.9202373
1	C12	16.42608455290175	0	0.25	0.1	20.066637940442778	89841763.75831385
1	C12	16.42608455290175	0	0.25	0.1	23.24942919698234	188670.12509408634
1	C12	16.42608455290175	0	0.25	0.1	26.937046434474503	1.3644923421322437
1	C12	16.42608455290175	0	0.25	0.1	31.20956065051332	2.771920088471457e-09
