g_\chi [MeV^-1]	g_A [unitless]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	1	C12	9.841221000000006	0	0.25	0.1	0.9841221000000007	7.0373100033747e-11
1	1	C12	9.841221000000006	0	0.25	0.1	1.2389363199982415	6.990930557391144e-10
1	1	C12	9.841221000000006	0	0.25	0.1	1.5597284168405363	1.1441398917847864e-08
1	1	C12	9.841221000000006	0	0.25	0.1	1.9635817394580366	3.3203474087418377e-07
1	1	C12	9.841221000000006	0	0.25	0.1	2.472002949938716	1.814314252709883e-05
1	1	C12	9.841221000000006	0	0.25	0.1	3.1120673317079937	0.001911836741951518
1	1	C12	9.841221000000006	0	0.25	0.1	3.9178606471016626	0.36891429308586576
1	1	C12	9.841221000000006	0	0.25	0.1	4.932294328504622	107.27719384255812
1	1	C12	9.841221000000006	0	0.25	0.1	6.209390668602717	29947.87512777728
1	1	C12	9.841221000000006	0	0.25	0.1	7.817159704461535	3284369.8605731158
1	1	C12	9.841221000000006	0	0.25	0.1	9.841221000000008	27413039.7444665
1	1	C12	9.841221000000006	0	0.25	0.1	12.389363199982414	972845.4366891357
1	1	C12	9.841221000000006	0	0.25	0.1	15.597284168405366	1.0619616013258275
1	1	C12	9.841221000000006	0	0.25	0.1	19.635817394580364	9.213073114193046e-15
1	1	C12	9.841221000000006	0	0.25	0.1	24.720029499387163	7.431774570519344e-43
1	1	C12	9.841221000000006	0	0.25	0.1	31.120673317079934	1.0854202038643975e-94
1	1	C12	9.841221000000006	0	0.25	0.1	39.178606471016614	4.7684873869753895e-186
1	1	C12	9.841221000000006	0	0.25	0.1	49.32294328504623	0.0
1	1	C12	9.841221000000006	0	0.25	0.1	62.093906686027154	0.0
1	1	C12	9.841221000000006	0	0.25	0.1	78.17159704461534	0.0
1	1	C12	9.841221000000006	0	0.25	0.1	98.41221000000004	0.0
