g_\chi [MeV^-1]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	C12	17.883827781069503	0	0.25	0.1	1.7883827781069503	2.663593002834019e-10
1	C12	17.883827781069503	0	0.25	0.1	3.3979272784032055	5.846438997703867e-07
1	C12	17.883827781069503	0	0.25	0.1	5.007471778699461	0.0005710264417713966
1	C12	17.883827781069503	0	0.25	0.1	6.617016278995715	0.24817741386345707
1	C12	17.883827781069503	0	0.25	0.1	8.22656077929197	47.99649565037206
1	C12	17.883827781069503	0	0.25	0.1	9.836105279588226	4130.456413600922
1	C12	17.883827781069503	0	0.25	0.1	11.44564977988448	158171.34111645757
1	C12	17.883827781069503	0	0.25	0.1	13.055194280180736	2695248.354117343
1	C12	17.883827781069503	0	0.25	0.1	14.664738780476991	20436711.834522996
1	C12	17.883827781069503	0	0.25	0.1	16.274283280773247	68954798.26445721
1	C12	17.883827781069503	0	0.25	0.1	17.883827781069503	103528328.54269578
1	C12	17.883827781069503	0	0.25	0.1	19.493372281365758	69166396.79630172
1	C12	17.883827781069503	0	0.25	0.1	21.10291678166201	20562330.74264169
1	C12	17.883827781069503	0	0.25	0.1	22.712461281958266	2720136.939947082
1	C12	17.883827781069503	0	0.25	0.1	24.32200578225452	160121.78959891206
1	C12	17.883827781069503	0	0.25	0.1	25.931550282550777	4194.221301730981
1	C12	17.883827781069503	0	0.25	0.1	27.541094782847033	48.88701125176943
1	C12	17.883827781069503	0	0.25	0.1	29.15063928314329	0.25355773979645035
1	C12	17.883827781069503	0	0.25	0.1	30.760183783439544	0.0005851961978645129
1	C12	17.883827781069503	0	0.25	0.1	32.3697282837358	6.009901566081596e-07
1	C12	17.883827781069503	0	0.25	0.1	33.979272784032055	2.746467481454812e-10
