Photon energy [MeV]	CO flux [cm^-2 s^-1 sr^-2 MeV^-1]
0.9842280041134146	0.0
1.8700332078154878	0.0
2.7558384115175607	0.0
3.6416436152196336	0.0
4.527448818921707	0.0
5.4132540226237795	0.0
6.299059226325853	6.556568647100257e-271
7.184864430027925	9.633985654087154e-148
8.070669633729999	9.881207097752455e-60
8.956474837432072	7.074384032685665e-07
9.842280041134146	353542709226.45355
10.728085244836219	1.2333029298552283e-06
11.613890448538292	3.0031170837034175e-59
12.499695652240366	5.10445511857905e-147
13.385500855942437	6.0562129618834815e-270
14.27130605964451	0.0
15.157111263346584	0.0
16.042916467048656	0.0
16.92872167075073	0.0
17.814526874452802	0.0
18.700332078154876	0.0
