Photon energy [MeV]	CO flux [cm^-2 s^-1 sr^-2 MeV^-1]
1.642608455290175	0.0
3.120956065051332	0.0
4.599303674812489	0.0
6.077651284573646	0.0
7.555998894334804	0.0
9.03434650409596	0.0
10.512694113857117	2.591563585188492e-272
11.991041723618276	3.654580494558237e-149
13.469389333379432	3.526114574036291e-61
14.947736943140589	2.327761775166478e-08
16.42608455290175	10513900664.913692
17.904432162662907	3.2491699761694e-08
19.382779772424062	6.870118344074566e-61
20.86112738218522	9.938920796927766e-149
22.33947499194638	9.83778814704435e-272
23.817822601707533	0.0
25.29617021146869	0.0
26.77451782122985	0.0
28.252865430991005	0.0
29.731213040752163	0.0
31.20956065051332	0.0
