# Integral 1 l range [deg] = [330, 359.75], 
# Integral2 l range [deg] = [0.25, 30] 
# b range [deg] = [-5, 5], 
# R_odot [kpc] = 8.5, 
# R_max [kpc] = 50 kpc

Photon energy [MeV]	Integral 1 [cm^-2 s^-1 MeV^-1]	Error 1	Integral 2 [cm^-2 s^-1 MeV^-1]	Error 2
13.413086475865295	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
13.591927628876833	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
13.77076878188837	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
13.949609934899907	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
14.128451087911445	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
14.307292240922981	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
14.48613339393452	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
14.664974546946056	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
14.843815699957593	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
15.022656852969131	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
15.201498005980667	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
15.380339158992205	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
15.559180312003743	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
15.73802146501528	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
15.916862618026817	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
16.095703771038355	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
16.27454492404989	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
16.45338607706143	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
16.632227230072967	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
16.811068383084503	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
16.98990953609604	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
17.16875068910758	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
17.347591842119115	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
17.52643299513065	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
17.70527414814219	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
17.884115301153727	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
18.062956454165263	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
18.241797607176803	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
18.42063876018834	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
18.599479913199875	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
18.77832106621141	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
18.95716221922295	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
19.136003372234487	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
19.314844525246023	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
19.493685678257563	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
19.6725268312691	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
19.851367984280635	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
20.030209137292175	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
20.20905029030371	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
20.387891443315247	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
20.566732596326787	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
20.745573749338323	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
20.92441490234986	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
21.1032560553614	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
21.282097208372935	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
21.46093836138447	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
21.63977951439601	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
21.818620667407547	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
21.997461820419083	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
22.176302973430623	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
22.35514412644216	297.5	3.3029134982598407e-12	297.5	3.3029134982598407e-12
