Nuclear excitation energy [MeV]	Optimal DM mass [MeV]
11.083686999999998	11.08328050641105
12.67221699999999	12.671810207511438
14.298885	14.298477902332314
15.954131999999994	15.953724592718736
16.732240999999995	16.73183344749567
17.228590999999994	17.22818335496627
17.361999999999995	17.361592330110444
17.69947299999999	17.699065267261744
18.216430999999996	18.2160231710617
18.289008999999997	18.288601157562987
18.558547	18.558139107447438
19.272980999999994	19.272572974730412
19.409212	19.408803949442966
19.743546999999992	19.743138887409565
19.906587999999992	19.906179857172155
20.24729899999999	20.246890794013108
20.717435999999992	20.717027706925894
20.976286999999992	20.975878659008544
21.28797099999999	21.28756260134081
21.546325	21.545916553564876
21.916796999999995	21.916388485094597
22.23987	22.239461425422064
22.63741199999999	22.637003352042754
23.151957	23.151548257145123
23.676200999999992	23.67579216054952
24.077032	24.076623086755397
24.477605	24.477196013062184
24.863989	24.863579942029844
25.267703	25.267293867864538
25.661045999999992	25.660636795656465
26.093220999999996	26.09281171637892
26.680792999999998	26.680383608694726
27.08572999999999	27.085320534548437
27.625601999999997	27.625192435778978
27.958043999999997	27.957634375006602
28.465062999999997	28.4646532823906
28.984675	28.984265187562016
29.544822999999997	29.544413085435007
30.06296199999999	30.06255199105879
30.553664999999995	30.55325490176099
31.072003999999996	31.071593807519577
31.532825999999996	31.5324157238093
32.141206	32.14079561340062
32.617766	32.617355526998864
33.129636999999995	33.129226434277435
33.69586399999999	33.69545333180905
34.22301699999999	34.22260623650531
34.822188	34.821777128290826
35.395219999999995	35.39480902490592
36.02945999999999	36.02904891060173
36.587898	36.5874868100662
37.16982099999999	37.16940970540954
37.66492399999999	37.6645126164529
38.240869	38.240457513070226
38.83026199999999	38.82985040738375
39.39495399999999	39.39454230623091
40.02306099999999	40.022649193838404
40.61219799999999	40.6117860885336
41.253868	41.25345597396472
41.857097	41.85668486637893
42.462212	42.46179975857294
43.08268499999999	43.08227264815144
43.70801099999999	43.7075985369897
44.382741	44.382328417184326
45.031899	45.031486302055214
45.685689	45.685276186238866
46.38724799999999	46.38683506211002
47.05356	47.053146944360705
47.73497599999999	47.73456282408623
48.39182199999999	48.39140870828612
49.10594699999999	49.10553358254087
49.787712	49.78729846264212
50.489346	50.488932339400236
51.202839	51.202425214232235
51.902564	51.902150091633
52.577086	52.57667197359314
53.31233699999999	53.311922845086094
54.02287299999999	54.02245872105726
54.72362199999999	54.723207598889154
55.456186	55.45577147133591
56.193896	56.19348134305309
56.909995	56.90958021868778
57.64883499999999	57.648420090537385
58.381672	58.38125696359284
59.11943699999999	59.119021835959906
59.863596	59.86318070738853
60.596925	60.596509580852725
61.33836899999999	61.33795345308235
62.081757	62.08134132514387
62.82657999999999	62.82616419712571
63.57767299999999	63.57725706819914
64.324264	64.32384794021348
65.090392	65.08997580905259
65.84944499999999	65.84902867927633
66.61037099999999	66.60995454935276
67.377129	67.37671241860821
68.155874	68.15545728599892
68.92587499999999	68.92545815505585
69.68293499999999	69.68251802648498
70.463456	70.46303889410746
71.237212	71.23679476305502
72.006858	72.00644063287388
72.79192099999999	72.79150350026472
73.574129	73.57371136831796
74.357244	74.35682623639791
75.140284	75.13986610466999
75.932379	75.93196097160101
76.72639799999999	76.72597983839238
