Radius from GC [kpc]	Optimal DM mass [MeV]
1e-07	50.31477676587799
0.36900244702644347	50.310723226156064
0.7380047940528869	50.31146285077399
1.1070071410793305	50.311820464867466
1.476009488105774	50.3119789687721
1.9882302582263947	50.31218885349381
2.5004510283470154	50.31237000143278
3.012671798467636	50.31239336343625
3.524892568588257	50.31220019740645
4.02374655008316	50.31193565472993
4.522600531578064	50.31182309238778
5.0214545130729675	50.31175470110246
5.520308494567871	50.31170521236579
6.016494989395142	50.31160619910985
6.512681484222412	50.31155566910283
7.008867979049683	50.31154185624568
7.505054473876953	50.311562495226376
8.003790855407715	50.31165582557775
8.502527236938477	50.31177413797195
9.001263618469238	50.31192202486086
9.5	50.31202319859883
10.0	50.31206425762315
10.5	50.31205435844842
11.0	50.31194368904268
11.5	50.31182039676551
12.0	50.31161895719137
12.5	50.31147682069972
13.0	50.31137181462515
13.5	50.31133450548253
14.0	50.31133400618599
14.5	50.31133405977283
15.0	50.31133411278753
15.5	50.31133416525967
24.125	50.31133500519375
32.75	50.31133576026288
41.375	50.31133645605583
50.0	50.311337102197136
