Nuclear excitation energy [MeV]	Optimal DM mass [MeV]
11.083686999999998	11.079066931588864
12.67221699999999	12.667595874890782
14.298885	14.294262804656515
15.954131999999994	15.94950869426346
16.732240999999995	16.727617179406572
17.228590999999994	17.223966850367148
17.361999999999995	17.35737576194538
17.69947299999999	17.69484853830538
18.216430999999996	18.21180619581268
18.289008999999997	18.28438414773729
18.558547	18.553921969214855
19.272980999999994	19.268355496165203
19.409212	19.404586405985068
19.743546999999992	19.73892118469757
19.906587999999992	19.9019620768007
20.24729899999999	20.24267285135864
20.717435999999992	20.712809540350055
20.976286999999992	20.971660369148342
21.28797099999999	21.283344163036325
21.546325	21.541697992217724
21.916796999999995	21.912169747311278
22.23987	22.23524253377908
22.63741199999999	22.63278427107827
23.151957	23.14732893114289
23.676200999999992	23.67157258489407
24.077032	24.07240332021933
24.477605	24.472976055768832
24.863989	24.859359800736
25.267703	25.263073534316636
25.661045999999992	25.656416274791855
26.093220999999996	26.088590989702745
26.680792999999998	26.676162602197966
27.08572999999999	27.081099335203106
27.625601999999997	27.62097097931603
27.958043999999997	27.953412760211272
28.465062999999997	28.46043142610915
28.984675	28.980043083785578
29.544822999999997	29.54019071484196
30.06296199999999	30.058329373644984
30.553664999999995	30.549032050581854
31.072003999999996	31.067370709393586
31.532825999999996	31.528192406123797
32.141206	32.13657200582825
32.617766	32.613131692330946
33.129636999999995	33.12500235566681
33.69586399999999	33.69122898332522
34.22301699999999	34.21838163674561
34.822188	34.817552242894656
35.395219999999995	35.390580008040146
36.02945999999999	36.02481958189656
36.587898	36.58325720675474
37.16982099999999	37.165179815904956
37.66492399999999	37.66028248342177
38.240869	38.236227096710316
38.83026199999999	38.82561970103513
39.39495399999999	39.39031132200314
40.02306099999999	40.01841790047368
40.61219799999999	40.607554505160515
41.253868	41.24922407466491
41.857097	41.85245267002146
42.462212	42.45756726417148
43.08268499999999	43.078039848079946
43.70801099999999	43.703365428792495
44.382741	44.37809497644281
45.031899	45.02725254129714
45.685689	45.681042103103955
46.38724799999999	46.382600632955956
47.05356	47.04891218648546
47.73497599999999	47.730327729949245
48.39182199999999	48.38717328992492
49.10594699999999	49.101297811582874
49.787712	49.78306235496651
50.489346	50.4846958850914
51.202839	51.19818840732269
51.902564	51.89791293881822
52.577086	52.57243448722858
53.31233699999999	53.30768499502355
54.02287299999999	54.01822051940349
54.72362199999999	54.71896905037084
55.456186	55.451532560079606
56.193896	56.18924206637932
56.909995	56.90534058717334
57.64883499999999	57.644180092779656
58.381672	58.37701660243121
59.11943699999999	59.11478110881175
59.863596	59.858939610938954
60.596925	60.59226812033412
61.33836899999999	61.33371162432075
62.081757	62.07709912702563
62.82657999999999	62.82192162878745
63.57767299999999	63.57301412637029
64.324264	64.31960462697793
65.090392	65.08573211452928
65.84944499999999	65.8447846068231
66.61037099999999	66.60571009787249
67.377129	67.37246758502785
68.155874	68.15121206417088
68.92587499999999	68.9212125491657
69.68293499999999	69.67827204281771
70.463456	70.45879252077849
71.237212	71.23254800326265
72.006858	72.00219348849303
72.79192099999999	72.78725596340769
73.574129	73.56946344022624
74.357244	74.35257791643113
75.140284	75.13561739267786
75.932379	75.92771186285819
76.72639799999999	76.72173033174047
