g_\chi [MeV^-1]	g_A [unitless]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	1	O16	16.73	0	0.25	0.01	1.673	0.0
1	1	O16	16.73	0	0.25	0.01	2.1061822139316417	0.0
1	1	O16	16.73	0	0.25	0.01	2.651526310987443	0.0
1	1	O16	16.73	0	0.25	0.01	3.3380738529429363	0.0
1	1	O16	16.73	0	0.25	0.01	4.202385999915528	0.0
1	1	O16	16.73	0	0.25	0.01	5.290490525461699	0.0
1	1	O16	16.73	0	0.25	0.01	6.660332963360011	0.0
1	1	O16	16.73	0	0.25	0.01	8.384862418584268	0.0
1	1	O16	16.73	0	0.25	0.01	10.555916373153632	2.4185969663158973e-295
1	1	O16	16.73	0	0.25	0.01	13.289111366937231	2.0276881041366132e-91
1	1	O16	16.73	0	0.25	0.01	16.729999999999997	18.079930021736008
1	1	O16	16.73	0	0.25	0.01	21.06182213931642	7.34722523138048e-145
1	1	O16	16.73	0	0.25	0.01	26.515263109874436	0.0
1	1	O16	16.73	0	0.25	0.01	33.38073852942935	0.0
1	1	O16	16.73	0	0.25	0.01	42.023859999155285	0.0
1	1	O16	16.73	0	0.25	0.01	52.90490525461698	0.0
1	1	O16	16.73	0	0.25	0.01	66.6033296336001	0.0
1	1	O16	16.73	0	0.25	0.01	83.84862418584268	0.0
1	1	O16	16.73	0	0.25	0.01	105.55916373153637	0.0
1	1	O16	16.73	0	0.25	0.01	132.89111366937237	0.0
1	1	O16	16.73	0	0.25	0.01	167.29999999999998	0.0
