g_\chi [MeV^-1]	g_A [unitless]	nucleus	m_\chi [MeV]	b [deg]	l [deg]	\epsilon	Photon energy [MeV]	total flux [cm^-2 s^-1 MeV^-1]
1	1	O16	16.731240999999994	0	0.25	0.1	1.6731240999999994	7.570596553302242e-38
1	1	O16	16.731240999999994	0	0.25	0.1	2.106338446575245	7.526081389826026e-37
1	1	O16	16.731240999999994	0	0.25	0.1	2.6517229962326265	1.2327483326055894e-35
1	1	O16	16.731240999999994	0	0.25	0.1	3.3383214649962225	3.580856920773095e-34
1	1	O16	16.731240999999994	0	0.25	0.1	4.202697725021677	1.9586444829434457e-32
1	1	O16	16.731240999999994	0	0.25	0.1	5.290882964119324	2.065997813733437e-30
1	1	O16	16.731240999999994	0	0.25	0.1	6.660827014358666	3.9899464784903464e-28
1	1	O16	16.731240999999994	0	0.25	0.1	8.385484391941196	1.160673677671189e-25
1	1	O16	16.731240999999994	0	0.25	0.1	10.556699391218128	3.238199881782422e-23
1	1	O16	16.731240999999994	0	0.25	0.1	13.29009712827652	3.5425362514051106e-21
1	1	O16	16.731240999999994	0	0.25	0.1	16.73124099999999	2.939612889053329e-20
1	1	O16	16.731240999999994	0	0.25	0.1	21.06338446575245	1.0311684626165502e-21
1	1	O16	16.731240999999994	0	0.25	0.1	26.51722996232627	1.1017624399517512e-27
1	1	O16	16.731240999999994	0	0.25	0.1	33.38321464996222	9.20423585798655e-42
1	1	O16	16.731240999999994	0	0.25	0.1	42.02697725021677	6.960138245082137e-70
1	1	O16	16.731240999999994	0	0.25	0.1	52.90882964119323	9.121072057674235e-122
1	1	O16	16.731240999999994	0	0.25	0.1	66.60827014358664	3.3491300271922005e-213
1	1	O16	16.731240999999994	0	0.25	0.1	83.85484391941196	0.0
1	1	O16	16.731240999999994	0	0.25	0.1	105.56699391218129	0.0
1	1	O16	16.731240999999994	0	0.25	0.1	132.9009712827652	0.0
1	1	O16	16.731240999999994	0	0.25	0.1	167.31241	0.0
