Photon energy [MeV]	O16 flux [cm^-2 s^-1 sr^-1 MeV^-1]
5.905368024680487	0.0
6.299059226325853	0.0
6.692750427971219	0.0
7.086441629616584	0.0
7.48013283126195	0.0
7.873824032907316	0.0
8.267515234552683	0.0
8.661206436198048	0.0
9.054897637843414	0.0
9.44858883948878	0.0
9.842280041134146	0.0
10.235971242779511	0.0
10.629662444424877	0.0
11.023353646070243	0.0
11.417044847715609	0.0
11.810736049360974	0.0
12.20442725100634	0.0
12.598118452651706	0.0
12.991809654297072	0.0
13.385500855942437	0.0
13.779192057587803	0.0
