Nuclear excitation energy [MeV]	Optimal DM mass [MeV]
11.083686999999998	11.079065673578494
12.67221699999999	12.667594429253995
14.298885	14.294261174716057
15.954131999999994	15.949506890600315
16.732240999999995	16.727615287473085
17.228590999999994	17.223964902910016
17.361999999999995	17.357373799568983
17.69947299999999	17.69484653819714
18.216430999999996	18.211804137927007
18.289008999999997	18.284382081742088
18.558547	18.553919873107155
19.272980999999994	19.2683533202747
19.409212	19.40458421488658
19.743546999999992	19.73891895628299
19.906587999999992	19.90195983019219
20.24729899999999	20.242670566737196
20.717435999999992	20.712807203291668
20.976286999999992	20.971658003226594
21.28797099999999	21.283341762367108
21.546325	21.541695562752153
21.916796999999995	21.912167276561433
22.23987	22.23524002703525
22.63741199999999	22.63278172005405
23.151957	23.147326322822135
23.676200999999992	23.67156991821487
24.077032	24.07240060893175
24.477605	24.47297329991141
24.863989	24.85935700189644
25.267703	25.26307069057616
25.661045999999992	25.656413387312476
26.093220999999996	26.088588054175755
26.680792999999998	26.676159601361793
27.08572999999999	27.081096289367284
27.625601999999997	27.62096787349691
27.958043999999997	27.9534096174618
28.465062999999997	28.4604282270444
28.984675	28.980039827016853
29.544822999999997	29.540187395878235
30.06296199999999	30.058325997159695
30.553664999999995	30.549028619628224
31.072003999999996	31.06736722091118
31.532825999999996	31.52818886650192
32.141206	32.136564588703536
32.617766	32.61312421526284
33.129636999999995	33.12499481421836
33.69586399999999	33.6912213706647
34.22301699999999	34.21837395779116
34.822188	34.817544488593256
35.395219999999995	35.390576039942374
36.02945999999999	36.024815543455155
36.587898	36.58325310637846
37.16982099999999	37.16517565098994
37.66492399999999	37.660278263597
38.240869	38.23622281300951
38.83026199999999	38.82561535196569
39.39495399999999	39.39030691030291
40.02306099999999	40.01841341910655
40.61219799999999	40.60754995844567
41.253868	41.249219456771065
41.857097	41.85244798520808
42.462212	42.45756251222413
43.08268499999999	43.07803502728869
43.70801099999999	43.70336053861208
44.382741	44.37809001138277
45.031899	45.02724750418651
45.685689	45.68103699341923
46.38724799999999	46.38259544538333
47.05356	47.04890692492675
47.73497599999999	47.730322392715266
48.39182199999999	48.38716787973224
49.10594699999999	49.10129232205524
49.787712	49.78305678968472
50.489346	50.484690241832745
51.202839	51.198182684753114
51.902564	51.897907138451934
52.577086	52.57242861185207
53.31233699999999	53.30767903786557
54.02287299999999	54.018214483194974
54.72362199999999	54.71896293618287
55.456186	55.451526364352624
56.193896	56.189235788520406
56.909995	56.90533422956895
57.64883499999999	57.64417365287687
58.381672	58.37701008087798
59.11943699999999	59.11477450503798
59.863596	59.85893292421055
60.596925	60.59226135183712
61.33836899999999	61.33370477312877
62.081757	62.077092192900096
62.82657999999999	62.82191461154637
63.57767299999999	63.57300702529184
64.324264	64.31959744254259
65.090392	65.08572484453299
65.84944499999999	65.84477725203337
66.61037099999999	66.6057026580576
67.377129	67.37246005951351
68.155874	68.1512044515943
68.92587499999999	68.9212048504818
69.68293499999999	69.67826425945196
70.463456	70.45878465008437
71.237212	71.23254004597506
72.006858	72.00218544505049
72.79192099999999	72.78724783206269
73.574129	73.56945472368412
74.357244	74.35257261730949
75.140284	75.13561109381227
75.932379	75.92770456007308
76.72639799999999	76.72172203002637
