E_gamma [MeV]	GT strength
9.845321000000006	0.356752
16.429129000000003	0.01769
17.886873	0.001913
19.106065	5.1e-05
20.271515	0.000183
20.634644	0.005098
21.124506000000004	0.00434
21.319014000000003	0.000248
22.049041000000003	0.000234
22.255069000000006	0.000151
22.375785	0.001492
22.691069000000006	0.003652
23.234614	0.001017
23.49949	0.002751
23.722903000000002	1.2e-05
23.975631	0.002376
24.127765000000004	0.00082
24.395655000000005	0.004311
24.689789000000005	0.004882
24.873077000000002	0.002337
25.193355000000004	0.00212
25.557194000000003	0.000267
26.003710000000005	0.016935
26.416083000000004	0.002062
26.527788000000005	0.005808
27.125878000000004	0.009181
27.402361000000003	0.000942
27.668740000000003	0.010575
27.976836000000002	0.003366
28.509042000000004	0.002564
28.857441000000005	0.003379
29.168116000000005	0.006768
29.456089000000002	0.001012
30.042922000000004	0.002539
30.437946000000004	0.002519
30.851649000000002	0.003359
31.185094000000003	0.002518
31.681334000000003	0.003256
31.952711000000004	0.00964
32.410724	0.004568
32.792416	0.004652
33.30255100000001	0.00475
33.58793800000001	0.009848
34.136562000000005	0.008737
34.565850000000005	0.004581
34.993877000000005	0.005833
35.363474000000004	0.006553
35.869974	0.003315
36.283955000000006	0.005385
36.767230000000005	0.003008
37.199811000000004	0.004405
37.652768	0.005448
38.19608	0.002732
38.556106	0.002325
39.13056400000001	0.001909
39.565449	0.001894
40.05407	0.001388
40.499525000000006	0.001407
41.059143000000006	0.001133
41.52287200000001	0.001272
41.98585800000001	0.001076
42.51042700000001	0.000843
43.013321000000005	0.000767
43.524117000000004	0.000632
44.03732	0.000727
44.525012000000004	0.000757
45.074676000000004	0.0005
45.630351000000005	0.000485
46.133935	0.000374
46.672945000000006	0.000455
47.156012000000004	0.000454
47.697723	0.000342
48.228122	0.000309
48.739074	0.000257
49.307315	0.000311
49.82493	0.000234
50.314816	0.00019
50.89891900000001	0.000129
51.432787000000005	0.00014
51.973068000000005	0.000106
52.579828000000006	9e-05
53.101235	7.5e-05
53.692147000000006	5.9e-05
54.194118	6.7e-05
54.817892	4.4e-05
55.341667	3.8e-05
55.943416000000006	4.2e-05
56.459958	3.2e-05
57.035070000000005	3e-05
57.633648	2.3e-05
58.218292000000005	2.2e-05
58.749719000000006	1.6e-05
59.338874000000004	1.4e-05
59.940347	1.2e-05
60.485786000000004	1e-05
61.089916	1e-05
61.652671000000005	8e-06
62.271494000000004	7e-06
62.83086	8e-06
63.431304000000004	7e-06
63.976745	6e-06
64.543533	5e-06
65.17234	4e-06
65.74018600000001	3e-06
66.328565	3e-06
66.927682	3e-06
67.483962	3e-06
68.092447	2e-06
68.696788	2e-06
69.253307	2e-06
69.842951	2e-06
70.435649	1e-06
71.026463	1e-06
71.621069	1e-06
72.19555100000001	1e-06
72.791594	1e-06
73.37417400000001	1e-06
73.951451	1e-06
