Excitation energy [MeV]	GT strength
11.083686999999998	0.019075
12.67221699999999	0.008195
14.298884999999999	0.00297
15.954131999999994	1e-05
16.732240999999995	0.000447
17.228590999999994	0.021004
17.361999999999995	0.002597
17.69947299999999	0.004858
18.216430999999993	0.00568
18.289008999999993	0.00987
18.558546999999997	0.005832
19.272980999999994	0.000322
19.409211999999997	0.004459
19.743546999999992	0.000791
19.906587999999992	0.005068
20.24729899999999	0.001761
20.717435999999992	0.003639
20.976286999999992	0.015268
21.28797099999999	0.017494
21.546324999999996	0.017949
21.916796999999995	0.005403
22.239869999999996	0.010686
22.63741199999999	0.022623
23.151956999999996	0.014111
23.676200999999992	0.008856
24.077031999999996	0.011101
24.477604999999997	0.013436
24.863988999999997	0.015787
25.267702999999997	0.010396
25.661045999999992	0.003256
26.093220999999993	0.004631
26.680792999999994	0.005277
27.08572999999999	0.005259
27.625601999999994	0.008448
27.958043999999994	0.009551
28.465062999999994	0.007247
28.984674999999996	0.007738
29.544822999999994	0.005021
30.06296199999999	0.005422
30.553664999999995	0.007556
31.072003999999993	0.011724
31.532825999999993	0.008032
32.141206	0.007807
32.617765999999996	0.010944
33.129636999999995	0.006758
33.69586399999999	0.006027
34.22301699999999	0.00613
34.822188	0.00595
35.395219999999995	0.005274
36.02945999999999	0.003308
36.587897999999996	0.004205
37.16982099999999	0.00894
37.66492399999999	0.008809
38.240868999999996	0.008987
38.83026199999999	0.006234
39.39495399999999	0.005115
40.02306099999999	0.004088
40.61219799999999	0.00347
41.253868	0.00237
41.857096999999996	0.002299
42.462211999999994	0.00203
43.08268499999999	0.001272
43.70801099999999	0.000954
44.382740999999996	0.00082
45.031898999999996	0.000514
45.685688999999996	0.000334
46.38724799999999	0.000268
47.05356	0.000242
47.73497599999999	0.000197
48.39182199999999	0.000159
49.10594699999999	0.000137
49.787712	0.000103
50.489346	9.4e-05
51.202839	8.9e-05
51.902564	7.9e-05
52.577085999999994	6.9e-05
53.31233699999999	5.9e-05
54.02287299999999	5.1e-05
54.72362199999999	4.6e-05
55.456185999999995	3.4e-05
56.193895999999995	3.5e-05
56.909994999999995	2.9e-05
57.64883499999999	2.6e-05
58.381671999999995	2.3e-05
59.11943699999999	2.2e-05
59.863595999999994	1.9e-05
60.596925	1.7e-05
61.33836899999999	1.5e-05
62.081756999999996	1.3e-05
62.82657999999999	1.2e-05
63.57767299999999	1e-05
64.324264	8e-06
65.090392	7e-06
65.84944499999999	6e-06
66.61037099999999	5e-06
67.377129	4e-06
68.155874	4e-06
68.92587499999999	3e-06
69.68293499999999	3e-06
70.463456	2e-06
71.237212	2e-06
72.006858	2e-06
72.79192099999999	1e-06
73.574129	1e-06
74.357244	1e-06
75.140284	1e-06
75.932379	1e-06
76.72639799999999	1e-06
