# the blue line in fig6 in https://iopscience.iop.org/article/10.1088/0004-637X/763/2/98/pdf
# Calculated nuclear gamma ray line emissions from inner galaxy
# E [MeV], intensity [cm^-2 s^-2 sr^-1 MeV^-1]
0.05144148118590669, 0.000053465915142503854
0.0520612996325287, 0.00005857954498903816
0.05268858627209377, 0.00006420455010961834
0.053323431088864406, 0.00006982954840275829
0.05903796621566215, 0.00007213068251644274
0.0630579619206146, 0.00006548295415753181
0.06857263714629447, 0.00006497159253836642
0.07023507839215472, 0.00007289772494519082
0.0728045786459801, 0.00008286931748355725
0.07592139051245747, 0.00007494318507673283
0.07776196644603729, 0.00006982954840275829
0.08355580273657573, 0.00006599432260413743
0.08818274573069115, 0.00007315341258221376
0.08978132228431229, 0.00007928977249451907
0.09195790703817508, 0.00008798295415753179
0.09532215197212264, 0.00007903409168493639
0.09821950901343332, 0.00007161932089727737
0.10303954220647268, 0.00007161932089727737
0.10365846183575156, 0.00007980113411368446
0.10490744272263673, 0.00009053976908079896
0.10680920453382961, 0.00010204545330410178
0.11340086903780312, 0.00010255681492326716
0.11408202524562223, 0.00009309659083150635
0.11684773631471393, 0.00007698863838083462
0.12039937257730758, 0.00008977272665205089
0.12706654607330958, 0.00009232954157531804
0.13171522716740927, 0.00007698863838083462
0.1373540426192148, 0.00007852273006577101
0.14152893145294232, 0.00007545454669589823
0.14583076305882425, 0.00007673295757125192
0.14936621226295865, 0.00008363636673974557
0.1502633506520184, 0.00009360795245067174
0.15483066861594655, 0.00011866477078765903
0.15858425637969836, 0.0000992329507438117
0.1604950895372999, 0.00008363636673974557
0.16438600087686006, 0.00009105113752740459
0.17245309455973618, 0.00008210227505480916
0.1776948791552476, 0.00009795454669589823
0.18309599000591198, 0.00009181817995615266
0.1920813208428968, 0.00011585227164108905
0.196737982872495, 0.00009846590831506361
0.196737982872495, 0.00008644886247259543
0.2015075371977248, 0.00007724431919041731
0.2015075371977248, 0.00007724431919041731
0.20639278669563355, 0.00009181817995615266
0.21013420731659893, 0.00007417613582054452
0.2217704906927855, 0.00007826704925618831
0.2257907454917144, 0.00008338067910272264
0.23126463116967638, 0.000098977269934229
0.24116522204090662, 0.00007340909339179645
0.251489663715019, 0.00007161932089727737
0.25758665527413627, 0.00007698863838083462
0.260690317082893, 0.00009488636332602545
0.2686141092988149, 0.00009258522921234097
0.27022748641833916, 0.00008159090660820355
0.2784411649215148, 0.00007264204413560813
0.28690450164949843, 0.0000746874974397099
0.29562508506940516, 0.00007749999999999999
0.3082809892763801, 0.00008159090660820355
0.32730646600260754, 0.00008465908997807633
0.33524141556245013, 0.00010562499829313993
0.3495933209177517, 0.00008389204754932825
0.35806857471221265, 0.00009846590831506361
0.3733977257550679, 0.00008798295415753179
0.38705833904738135, 0.00010255681492326716
0.3917218799930887, 0.00012582386076573539
0.4036285609564743, 0.00011815340575477351
0.4183951578172601, 0.00012480113411368447
0.4311123173500119, 0.00010639204072188803
0.4495685190270374, 0.0001230113616191654
0.4688148428291668, 0.00010460226822736893
0.47446374497686084, 0.00008721591172878374
0.5221741347766761, 0.00008286931748355725
0.5445287527129116, 0.00010076704242874808
0.5712510066622933, 0.0000800568217507074
0.6101488512460826, 0.00008465908997807633
0.6400913519289022, 0.00009053976908079896
0.6516949260622611, 0.00010230113411368447
0.6755365041156576, 0.00010664772835891096
0.7002507493052991, 0.00008900568422330282
0.725869155723198, 0.0000956534057547735
0.7569440913954326, 0.00008849431577669719
0.7799514770876299, 0.00013528408827121627
0.789349365489433, 0.00009053976908079896
0.8133417124859292, 0.00009360795245067174
0.8532562640550087, 0.00011559659083150636
0.8791910671462209, 0.00008772727334794912
0.9278769945261921, 0.00009667613582054453
0.9851400386927694, 0.00008568182004384733
1.0334855523600617, 0.0001015340916849364
1.0459376860670642, 0.00008977272665205089
1.0842029171375704, 0.00008363636673974557
1.1238680670831538, 0.00010920454328217811
1.1790208716771664, 0.00009667613582054453
1.2368802500618912, 0.00012352272323833078
1.2668661605624445, 0.00010332386417945547
1.2975798548749484, 0.00009463068251644276
1.3450504583019893, 0.00008644886247259543
1.436637235623662, 0.00009079545671782189
1.4626805911791898, 0.00013017045159724173
1.5344612941598246, 0.00008159090660820355
1.59059795757637, 0.00010562499829313993
1.6291591101179042, 0.00008747159253836641
1.6586925016444776, 0.00007443181663012721
1.7929827134169898, 0.00008261363667397456
1.8585783017089734, 0.00007417613582054452
1.9970553649667977, 0.0001012784108753537
2.0577573637862074, 0.00007698863838083462
2.1076439458860183, 0.0000670170458424682
2.1717059786253583, 0.000060369317483557237
2.305732217640388, 0.00007059659083150636
2.375816681400563, 0.000058068183369872774
2.4480298492478356, 0.00007826704925618831
2.5073778774490747, 0.00006369318166301272
2.552831616190658, 0.000057301134113684465
2.662120015662784, 0.000053465915142503854
2.792761137454527, 0.00004988637015346568
2.9123210774382704, 0.00005755682175070739
3.018867232590897, 0.00005142045501096183
3.148106923127566, 0.00005704546013154201
3.282879449765701, 0.00006318182004384734
3.362466887078128, 0.00007059659083150636
3.4646715953652767, 0.00006752840746163359
3.656528291452137, 0.00007698863838083462
3.7451741648782333, 0.00009335227164108905
3.835969096167178, 0.00012326704242874808
3.952566259987272, 0.00008772727334794912
4.048389035161792, 0.00007954545330410177
4.272571902728369, 0.0000746874974397099
4.455483514257033, 0.00008082386417945548
4.590908347904604, 0.00007161932089727737
4.674132320848209, 0.00006164772835891095
4.903511119026328, 0.00005193181663012722
5.113433653122732, 0.00006139204754932826
5.268860312303082, 0.00009590908656435621
5.396594241078104, 0.0000670170458424682
