Radius [kpc],Mass density [kg/m^3]
0.738004744052887,3.655908476333947e-30
2.50045108795166,4.45605238705107e-30
4.5226006507873535,2.3629768589974926e-29
6.512681484222412,8.886093334970479e-29
8.502527236938477,6.698317583406739e-28
10.5,8.288994851136059e-29
12.5,3.677807314706483e-29
14.5,3.904526440209822e-29
32.75,1.9579620132255914e-30
